instruction,response,output,prompt,history,summary,type,his_len,i_tone,o_tone,r_tone
is it on its way?,"no, it's not on its way.",Yes someone will be there shortly,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: is it on its way?
Dispatcher:",[],,SafeRide&SafeWalk,3,,99.0,
I'll get on the next one,I'll call you back,Yes.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I'll get on the next one
Dispatcher:",[],,SafeRide&SafeWalk,12,,,
and ##########,Thank you. I'll need your [ACRONYM] number and phone number.,Thank you. Your [PERSON] will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: #########
Dispatcher: Thank you for contacting [ACRONYM] Campus Safety and Security. May I have your [ACRONYM] number and phone number 
 User: and ##########
Dispatcher:","[['#########', 'Thank you for contacting [ACRONYM] Campus Safety and Security. May I have your [ACRONYM] number and phone number']]",,SafeRide&SafeWalk,3,,99.0,99.0
pick up - Gulfstream design,What is the nature of your call?,Thank you for contacting [ACRONYM] Campus Safety and Security. Please provide your [ACRONYM] Id #,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: pick up - Gulfstream design
Dispatcher:",[],,SafeRide&SafeWalk,2,,99.0,99.0
Do you know when they will arrive?,"I'm not sure, but I can tell you that they are on their way.",We will have a van arriving soon.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Do you know when they will arrive?
Dispatcher:",[],,SafeRide&SafeWalk,5,,99.0,
tel: ##########,"Hello, how can I help you?",Thank you. Your [PERSON] will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: tel: ##########
Dispatcher:",[],,SafeRide&SafeWalk,3,,,
thank you,no problem,Thank you. Your [PERSON] will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you
Dispatcher:",[],,SafeRide&SafeWalk,4,99.0,,99.0
party of #,party of #,Thank you for contacting [PERSON].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: party of #
Dispatcher:",[],,SafeRide&SafeWalk,1,99.0,99.0,
"Hi, my [ACRONYM] number is#########.","Hello, how can I help you?",Ok. Ill let you know when they arrive.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi, my [ACRONYM] number is#########.
Dispatcher:",[],,SafeRide&SafeWalk,3,99.0,,99.0
and my number is ###-###-####,"Hello, how can I help you?",Thank you. Your safe ride will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: and my number is ###-###-####
Dispatcher:",[],,SafeRide&SafeWalk,2,,99.0,99.0
and ### ### ####,### ### ###,Thank you. Your safe ride will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: and ### ### ####
Dispatcher:",[],,SafeRide&SafeWalk,4,,,99.0
i am going,How can I help you?,Thank you. Your [PERSON] will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i am going
Dispatcher:",[],,SafeRide&SafeWalk,4,,,99.0
my [ACRONYM] is #########,"Hello, this is [ACRONYM] dispatch. How can I help you?",Thank you for contacting [ACRONYM] Campus Safety and Security. Please provide your [ACRONYM] Id #,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: my [ACRONYM] is #########
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,
hello,"hello, how can I help you?",Thank you. Your [PERSON] will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: hello
Dispatcher:",[],,SafeRide&SafeWalk,2,99.0,99.0,99.0
my phone no. is ##########,"Hello, how can I help you?",Thank you. Your [PERSON] will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: my phone no. is ##########
Dispatcher:",[],,SafeRide&SafeWalk,3,,,
Sravya Bhavirishetty,ok thank you. Do you know the students address?,Thank you your saferide will be there shortly,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: phone number - ##########
Dispatcher: Thank you for contacting [ACRONYM] Campus Safety and Security. May I have your student id number 
 User: id- ####### and id - #######
Dispatcher: may i have the other students name 
 User: Sravya Bhavirishetty
Dispatcher:","[['phone number - ##########', 'Thank you for contacting [ACRONYM] Campus Safety and Security. May I have your student id number'], ['id- ####### and id - #######', 'may i have the other students name']]",,SafeRide&SafeWalk,5,,,
thank u soooo soo much,You're welcome. We're glad to help.,"Your welcome, have a good evening!","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ðŸ˜”
Dispatcher: We have an officer en route to pick you up 
 User: thank u soooo soo much
Dispatcher:","[['ðŸ˜”', 'We have an officer en route to pick you up']]",,SafeRide&SafeWalk,6,99.0,99.0,99.0
oh oh but we don't think we will be done in ## mins. thanks all the same,Ok. We will be there in ## mins.,"Ok no worries, we hope you use the service in the future! Have a great night.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: is your service ##x#?
Dispatcher: We are from # [ACRONYM] to # [ACRONYM] every day. Will you still want a ride in the next ## minutes? 
 User: oh oh but we don't think we will be done in ## mins. thanks all the same
Dispatcher:","[['is your service ##x#?', 'We are from # [ACRONYM] to # [ACRONYM] every day. Will you still want a ride in the next ## minutes?']]",,SafeRide&SafeWalk,8,96.74,,
Thank you!,How many people will be in your party tonight?,Someone should be there in about # minutes,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: just me
Dispatcher: Thank you for requesting a Safety Escort! Please stay alert to our LiveSafe chats for the duration of your wait time. How many people will be in your party tonight? 
 User: Walmart is perfect
Dispatcher: Where exactly at [ORG]? We can pick up by the wal-mart, dome, or back 
 User: Thank you!
Dispatcher:","[['just me', 'Thank you for requesting a Safety Escort! Please stay alert to our LiveSafe chats for the duration of your wait time. How many people will be in your party tonight?'], ['Walmart is perfect', 'Where exactly at [ORG]? We can pick up by the wal-mart, dome, or back']]",,SafeRide&SafeWalk,5,99.0,99.0,99.0
thanks for the update.,No problem.,Ok.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thanks for the update.
Dispatcher:",[],,SafeRide&SafeWalk,4,99.0,,
brown [ORG] Civic. the only car with the lights on,brown [ORG] Civic. what is the problem?,"Are you in a vehicle? If so what kind is it, so our officer can find you.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: brown [ORG] Civic. the only car with the lights on
Dispatcher:",[],,SafeRide&SafeWalk,1,,,99.0
jen library,What is the nature of your emergency?,"Thank you, a transport will be there shortly.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Also, have a bike..so can you send one with a bike rack..
Dispatcher: Thank you for contacting us, what building are you located at? 
 User: jen library
Dispatcher:","[['Also, have a bike..so can you send one with a bike rack..', 'Thank you for contacting us, what building are you located at?']]",,SafeRide&SafeWalk,4,,,
[ACRONYM]: #########,[ACRONYM]: #########,"May I please have your student [ACRONYM] number and a telephone number where we can contact you, if necessary?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ACRONYM]: #########
Dispatcher:",[],,SafeRide&SafeWalk,1,,,
ok thanks,ok.,Thank you. Your [PERSON] will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ok thanks
Dispatcher:",[],,SafeRide&SafeWalk,5,99.0,,
thanks,"Hi, thanks for calling.",Your [ORG] has arrived,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thanks
Dispatcher:",[],,SafeRide&SafeWalk,4,99.0,,99.0
where?,when?,we are there right now,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: where?
Dispatcher:",[],,SafeRide&SafeWalk,9,,,99.0
need a pick up from Gulfstream,I understand you need a pick up from Gulfstream,Thank you. Your [PERSON] will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: need a pick up from Gulfstream
Dispatcher:",[],,SafeRide&SafeWalk,3,,,99.0
phone ########## [ACRONYM] #########,dispatcher ########## [ACRONYM] #########,Thank you for contacting [ACRONYM] Campus Safety and Security. How may we assist you today?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: phone ########## [ACRONYM] #########
Dispatcher:",[],,SafeRide&SafeWalk,1,,,99.0
I am still waiting outside [GPE] for the ride.,I'm sorry to hear that. Have you tried calling the driver?,He is in route you could go back inside call you once he get there sorry,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I am still waiting outside [GPE] for the ride.
Dispatcher:",[],,SafeRide&SafeWalk,10,,,99.0
pick up - Eckburg fashion building,Eckburg fashion building,Thank you for contacting [ORG]. Please provide your [ACRONYM] Id #,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: pick up - Eckburg fashion building
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,99.0
thank you,you are welcome,The next [ORG] bus will be there at #:## then again at #:##,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you
Dispatcher:",[],,SafeRide&SafeWalk,3,99.0,,99.0
phone: ##########,Thank you for calling [ACRONYM] Campus Safety and Security. How may I help you?,May I please have a telephone number in case we need to contact you?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ACRONYM]: #########
Dispatcher: Thank you for contacting [ACRONYM] Campus Safety and Security. How may we assist you today? 
 User: phone: ##########
Dispatcher:","[['[ACRONYM]: #########', 'Thank you for contacting [ACRONYM] Campus Safety and Security. How may we assist you today?']]",,SafeRide&SafeWalk,3,,,
[ACRONYM] is #########,[ACRONYM] is #########,Thank you. Your safe ride will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ACRONYM] is #########
Dispatcher:",[],,SafeRide&SafeWalk,1,,,
my [ACRONYM] no is #########,"Hello, my name is [DISPATCHER_NAME]. How can I help you?",Thank you for contacting [ACRONYM] Campus Safety and Security.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: my [ACRONYM] no is #########
Dispatcher:",[],,SafeRide&SafeWalk,1,,,
Cool.,Is this a life threatening emergency?,Your safe ride is outside,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Phone: ##########
Dispatcher: Thank you someone will be there shortly 
 User: Cool.
Dispatcher:","[['Phone: ##########', 'Thank you someone will be there shortly']]",,SafeRide&SafeWalk,5,99.0,,
sorry,It's ok.,ok your ride has been cancelled,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i actually wanted to tell yoi that j don't need the ride anymore
Dispatcher: Thank you. Your safe ride will be there shortly. 
 User: sorry
Dispatcher:","[[""i actually wanted to tell yoi that j don't need the ride anymore"", 'Thank you. Your safe ride will be there shortly.']]",,SafeRide&SafeWalk,5,,99.0,99.0
[ORG],"Okay, so we have a report of a suspicious person in the area. Do you know the person?",Thank you. Your SafeRide is leave [FAC] now,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: to the same address
Dispatcher: Sure Please provide their name as well 
 User: [ORG]
Dispatcher:","[['to the same address', 'Sure Please provide their name as well']]",,SafeRide&SafeWalk,7,,99.0,
id - ####### and phone number ##########,##########,Thank you for contacting [ORG]. Please provide your [ACRONYM] Id #,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: id - ####### and phone number ##########
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,
[ACRONYM] #########,[ACRONYM] #########,Thank you for contacting [ACRONYM] Campus Safety and Security. May we have your contact number?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ACRONYM] #########
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,99.0
isn't there only ## mins wait?,"Yes, but we are experiencing a high volume of calls today.","Yes. Usually an [GPE] is sent. In this case, Saferide would get to you before the [GPE].","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: OK
Dispatcher: We do not have an [ORG] but your Saferide is in route now. 
 User: isn't there only ## mins wait?
Dispatcher:","[['OK', 'We do not have an [ORG] but your Saferide is in route now.']]",,SafeRide&SafeWalk,7,,,99.0
Id: #########,Id: #########,Thank you for contacting [ACRONYM] Campus Safety and Security.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Id: #########
Dispatcher:",[],,SafeRide&SafeWalk,1,,,
Ok thnk you,You're welcome.,"Hi, your ride is outside","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi when will the safe ride be pulling up to oglethorpe house
Dispatcher: Thank you. Your safe ride will be there shortly. 
 User: Ok thnk you
Dispatcher:","[['Hi when will the safe ride be pulling up to oglethorpe house', 'Thank you. Your safe ride will be there shortly.']]",,SafeRide&SafeWalk,5,,99.0,99.0
[ACRONYM] #########,[ACRONYM] #########,Thank you for contacting [ACRONYM] Campus Safety and Security.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ACRONYM] #########
Dispatcher:",[],,SafeRide&SafeWalk,1,,,
no.,yes.,Thank you for contacting [ACRONYM] Campus Safety and Security.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no.
Dispatcher:",[],,SafeRide&SafeWalk,3,,,99.0
[ACRONYM] ######### [ORG] ##########,[ACRONYM] ######### [ORG] ##########,Thank you for contacting [ORG]. Please provide your [ACRONYM] Id #,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ACRONYM] ######### [ORG] ##########
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,99.0
Cool.,"Hello, how can I help you?",Thank you. Your safe ride will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Cool.
Dispatcher:",[],,SafeRide&SafeWalk,4,99.0,99.0,
[ACRONYM] #########,[ACRONYM] #########,Thank you for contacting [ORG]. Please provide your [ACRONYM] Id #,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ACRONYM] #########
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,99.0
Awesome..Thank you,You're welcome.,Your ride is outside,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Phone number - ##########
Dispatcher: Thank you for contacting [ORG]. Your ride will be there shortly. 
 User: Awesome..Thank you
Dispatcher:","[['Phone number - ##########', 'Thank you for contacting [ORG]. Your ride will be there shortly.']]",,SafeRide&SafeWalk,5,99.0,,
Phone number ##########,"Hello, this is the police department. How can I help you?",Thank you for contacting [ACRONYM] Campus Safety and Security. Are you located at [ORG]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Phone number ##########
Dispatcher:",[],,SafeRide&SafeWalk,2,,,99.0
Gulfstream,What is the nature of your concern?,At which building are you located?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Id - ####### and [ORG] number ##########
Dispatcher: Thank you for contacting [ORG]. 
 User: Gulfstream
Dispatcher:","[['Id - ####### and [ORG] number ##########', 'Thank you for contacting [ORG].']]",,SafeRide&SafeWalk,3,,,
I d. Number #########,"Hi, this is the police department.",Thank you for contacting [ORG]. Please provide your [ACRONYM] Id #,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I d. Number #########
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,99.0
Thank you,You are welcome.,Thank you. Your safe ride will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thank you
Dispatcher:",[],,SafeRide&SafeWalk,3,99.0,99.0,99.0
Thanks,"Hi, this is the police. How can I help you?",Thank you. Your safe ride will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thanks
Dispatcher:",[],,SafeRide&SafeWalk,5,99.0,99.0,99.0
######### [ACRONYM] no,"Hello, this is [DISPATCHER_NAME] from the [LOCATION] police department. How can I help you?",May I please have a telephone number in case we need to contact you?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ######### [ACRONYM] no
Dispatcher:",[],,SafeRide&SafeWalk,1,,,99.0
When do we get ride?,"I'm sorry sir, I don't know when you will get a ride.",SafeRide is headed your way,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: When do we get ride?
Dispatcher:",[],,SafeRide&SafeWalk,4,,99.0,99.0
How long should i wait for the bus?,Your safe ride will be there shortly.,Your safe ride will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: When could i take the bus?
Dispatcher: Thank you. Your safe ride will be there shortly. 
 User: When will the bus arrive to montgomery hall?
Dispatcher: Your safe ride will be there shortly. 
 User: How long should i wait for the bus?
Dispatcher:","[['When could i take the bus?', 'Thank you. Your safe ride will be there shortly.'], ['When will the bus arrive to montgomery hall?', 'Your safe ride will be there shortly.']]",,SafeRide&SafeWalk,8,,,99.0
Gulfstream,You're reporting a [CRIME].,Are you at [ORG] or Gulfstream,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ######### +#(###)###-####
Dispatcher: Thank you. Your [PERSON] will be there shortly. 
 User: Gulfstream
Dispatcher:","[['######### +#(###)###-####', 'Thank you. Your [PERSON] will be there shortly.']]",,SafeRide&SafeWalk,3,,99.0,99.0
Okay thank you!,You're welcome!,[PERSON] will be there in # min,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Okay thank you!
Dispatcher:",[],,SafeRide&SafeWalk,12,99.0,99.0,99.0
Do you know when the safe ride is going to be here ?,I am not sure. But it should be in about 15 minutes.,Saferide outside,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Please make the correction
Dispatcher: Thank you. Your [PERSON] will be there shortly. 
 User: Do you know when the safe ride is going to be here?
Dispatcher:","[['Please make the correction', 'Thank you. Your [PERSON] will be there shortly.']]",,SafeRide&SafeWalk,6,99.0,99.0,99.0
Now,Now nobody,Thank you safe ride is outside,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Now
Dispatcher:",[],,SafeRide&SafeWalk,5,,,99.0
Id - ####### and Number ##########,"Hello, this is ########## from the ########## Police Department.","May I please have your student [ACRONYM] number and a telephone number where we can contact you, if necessary?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Id - ####### and Number ##########
Dispatcher:",[],,SafeRide&SafeWalk,1,,,
thank you!,you are welcome!,No problem Ma'am we just want to ensure that you are able to get home safely.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you!
Dispatcher:",[],,SafeRide&SafeWalk,9,99.0,99.0,99.0
Phone: ##########,"Hello, how can I help you?",Thank you for contacting [ORG].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Phone: ##########
Dispatcher:",[],,SafeRide&SafeWalk,2,,,
Thanks,You're welcome,Thank you. Your safe ride will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thanks
Dispatcher:",[],,SafeRide&SafeWalk,4,99.0,99.0,
im at eckburg,"Hello, this is dispatcher 12345. How can I help you?",Thank you. Your safe ride will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: im at eckburg
Dispatcher:",[],,SafeRide&SafeWalk,5,,99.0,
There is this another student with me - #########,What's his name?,ok...name and where is she going??,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: There is this another student with me - #########
Dispatcher:",[],,SafeRide&SafeWalk,7,,99.0,
######### kun liu,"Hello, my name is #########. How can I help you?",ok...the third person,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ######### kun liu
Dispatcher:",[],,SafeRide&SafeWalk,3,,99.0,99.0
Yes*,Yes*,The [ORG] shuttle service will send you a text if they have your phone number. when you call ###-###-#### they will obtain your number automatically and send a text when the shuttle is about to arrive. Are you still waiting for the shuttle?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Yes*
Dispatcher:",[],,SafeRide&SafeWalk,8,,,
